NER_DATA,TAG
“ಕಟಾ”,B-SPT
ವಿಭಾಗಡ್,I-SPT
ಬೊಳ್ಳಿದ,I-SPT
ಪದಕ,I-SPT
ಗೆಂದ್,O
ದೆರ್,O
ನಮಿಷಾ,B-PER
ಮೇರ್,I-PER
ಕುಮಿಟೆ,B-SPT
ಬೊಕ್ಕ,O
ಕಟಾ,I-SPT
ರಡ್ಡ್,B-NUM
ವಿಭಾಗದ,O
ಪಂತೊಡುಲ,B-SPT
ಕಂಚಿದ,I-SPT
ಪದಕ,O
Read,O
more…3,O
ಪೆರ್ನೆದ,B-LOC
ಕೊರತಿಕಟ್ಟೆ,I-LOC
ಅಯ್ಯಪ್ಪ,B-ORG
ಭಕ್ತ,I-ORG
ವೃಂದದ,I-ORG
ಮುತಾಲಿಕೆಡ್,O
ಕಾರ್ಲ,B-LOC
ಶ್ರೀ,O
ರಾಮಾಂಜನೇಯ,O
ಭಜನಾ,O
ಮಂದಿರಡ್,O
ಜ.9,B-DATE
ಅಂಗಾರೆ,I-DATE
ಇರುಮುಡಿ,B-FUN
ಕಟ್ಟ್,I-FUN
ದ್,I-FUN
ಶಬರಿಮಲೆ,B-LOC
ಯಾತ್ರೆ,B-TRS
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ಅಯ್ಯಪ್ಪ,B-PER
ವೃತಾಧಾರಿ,I-PER
ಗುರುಸ್ವಾಮಿ,B-ROL
ರಮಾನಂದ,B-PER
ಮೆರೆನ,B-COM
ಮಾರ್ಗದರ್ಶನಡ್,B-ROL
ನಡಪುಂಡು.,O
*,O
ಬೊಲ್ಪುಗು,B-DATE
ಇರುಮುಡಿ,B-FUN
ಕಟ್ಟಿಯೆರೆ,I-FUN
ಮಧ್ಯಾಹ್ನ,B-DATE
ಮಹಾಪೂಜೆ,B-FUN
ಅನ್ನ,O
ಪ್ರಸಾದ,O
ಸೇವೆ,O
ರಾತ್ರೆ,B-DATE
ಅಪ್ಪ,B-FUN
ಸೇವೆ,I-FUN
ಪಂದಳ,I-FUN
ಪೂಜೆ,I-FUN
ಪ್ರಸಾದ,O
ಪಟ್ಟುನ,O
ಲೇಸ್,O
ಅನ್ನ,O
ಪ್ರಸಾದ,O
ಸೇವೆ,O
ನಡಪರೆ,O
ಉಂಡು,O
Read,O
more…4,O
ಸುಬ್ರಹ್ಮಣ್ಯ,B-LOC
ಸುಬ್ರಹ್ಮಣ್ಯದ,B-LOC
ಡಾ.ರವಿ,B-PER
ಕಕ್ಕೆಪದವು,B-LOC
ಸಮಾಜ,B-ORG
ಸೇವಾ,I-ORG
ಟ್ರಸ್ಟ್,I-ORG
ದಕುಲು,O
ಜ.7,B-DATE
ಐತಾರ,I-DATE
ಕುಮಾರಧಾರ,B-LOC
ಸುತ್ತಮುತ್ತದ,O
ಪರಿಸರನ್,O
ಸ್ವಚ್ಛತೆ,O
ಮಲ್ತೆರ್.,O
*,O
ಶ್ರೀ,B-ORG
ಕ್ಷೇತ್ರಗ್,I-ORG
ಮಸ್ತ್,O
ಸಂಖ್ಯೆಡ್,O
ಭಕ್ತಾದಿಲು,O
ಬರೊಂದು,O
ಉಲ್ಲೆರ್.,O
*,O
ದೇವೆರೆನ,O
ದರ್ಶನ,O
ಪಡೆವೊಂದು,O
ಉಲ್ಲೆರ್.,O
*,O
ಆಂಡ,O
ದೂರದ,O
ಊರುರ್ದ್,B-GPE
ಬೇತೆ,O
ಬೇತೆ,O
ಕ್ಷೇತ್ರಲೆರ್ದ್,O
ಗಾಡಿಡ್,B-TRS
ಬರ್ಪುನ,O
ಭಕ್ತಾದಿಲು,O
ಮಾರ್ಗದ,O
ಬರಿಟ್ಟ್,O
ಕಜವು,O
ಪ್ಲಾಸ್ಟಿಕ್,O
ಬಾಟಲಿ,O
ನೀರ್,O
ದ,O
ಕ್ಯಾನ್,O
ತೆನಸ್,O
ದ,O
ಡಬ್ಬಿನ್,O
ದಕ್ಕ್,O
ದ್,O
ಇಡೀ,O
ಪರಿಸರನ್,O
Read,O
more…5,O
ಬೊಂಬೈ,B-LOC
ಓಂ,B-ORG
ಶ್ರೀ,I-ORG
ಜಗದೀಶ್ವರಿ,I-ORG
ಸೇವಾ,I-ORG
ಸಮಿತಿ,I-ORG
(ರಿ.),O
*,O
ಮುತಾಲಿಕೆಡ್,B-ROL
ದೇವಲಪದ,B-LOC
ಶ್ರೀ,B-ORG
ಬ್ರಹ್ಮ,I-ORG
ಬೈದರ್ಕಳ,I-ORG
ಗರಡಿಡ್,I-ORG
50,B-NUM
ನೇ,I-NUM
ವರ್ಷದ,B-DATE
ಸುವರ್ಣ,B-FUN
ಮಹೋಚ್ಚಯ,I-FUN
ಬೊಕ್ಕ,O
ಬೈದರ್ಕಳ,B-FUN
ನೇಮೋಚ್ಚಯ,I-FUN
ಜ.25,B-DATE
ಗುರುವಾರ,I-DATE
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ಡ್,I-FUN
ಮಾತೆರ್ಲಾ,O
ಕುಟುಂಬ,B-FAM
ಸಮೇತೆರಾದ್,I-FAM
ಪಾಲ್,O
ಪಡೆದ್,O
ಸಿರಿಮುಡಿ,O
ಗಂಧ,O
ಪ್ರಸಾದ,O
ದೆತೊಂದು,O
ಶ್ರೀ,B-PER
ಜಗದೀಶ್ವರೀ,I-PER
ಬೊಕ್ಕ,O
ಶ್ರೀ,B-PER
ಬ್ರಹ್ಮ,I-PER
ಬೈದೆರ್ಲೆನ,I-PER
ಕೃಪೆಗ್,O
ಪಾತ್ರರಾವೊಡು,O
ಪಂದ್,O
ವ್ಯವಸ್ಥಾಪಕ,O
ಸಮಿತಿದ,B-ORG
ಸಂಸ್ಥಾಪಕಾಧ್ಯಕ್ಷೆರ್,B-ROL
ಶೇಖರ್,B-PER
Read,O
more…6,O
ಕುಕ್ಕೆ,B-ORG
ಶ್ರೀ,I-ORG
ಸುಬ್ರಹ್ಮಣ್ಯ,I-ORG
ದೇವಸ್ಥಾನಡ್,I-ORG
ಎಸ್.ಪಿ.ವೈ.ಎಸ್.ಎಸ್,I-ORG
ಯೋಗ,O
ಮುತಾಲಿಕೆಡ್,O
ಜ.7,B-DATE
ಐತಾರ,I-DATE
ಸಾಮೂಹಿಕ,O
ಯೋಗ,B-ENT
ಷಣ್ಮುಖ,B-FUN
ನಮಸ್ಕಾರ,I-FUN
ಕಾರ್ಯಕ್ರಮ,I-FUN
ನಡತ್ಂಡ್.,O
*,O
ವ್ಯವಸ್ಥಾಪನಾ,B-ORG
ಸಮಿತಿದ,I-ORG
ಅಧ್ಯಕ್ಷೆರ್,B-ROL
ಮೋಹನ್,B-PER
ರಾಮ್,I-PER
ಎಸ್,I-PER
ಸುಳ್ಳಿ,O
ಅನುಗ್ರಹ,B-ORG
ಎಜುಕೇಶನ್,I-ORG
ಸುಬ್ರಹ್ಮಣ್ಯ,I-ORG
ಟ್ರಸ್ಟ್,I-ORG
ದ,O
ಯೋಗೀಶ್,B-PER
ಆಚಾರ್ಯ,I-PER
ಎಸ್.ಪಿ.ವೈ.ಎಸ್.ಎಸ್,I-PER
ತಾಲೂಕು,B-GPE
ಸಂಚಾಲಕೆರ್,B-ROL
ನಯನ,B-PER
ಬಂಟ್ವಾಳಯೋಗ,O
ಶಿಕ್ಷಕೆರ್,B-ACD
ಆನಂದ,B-PER
ಕುಂಟಿನಿ,I-PER
ಉಬಾರ್,I-PER
ತುಡರ್,O
ಅರ್ಲಾದ್,O
ಲೇಸ್,B-FUN
ದ,I-FUN
ಉದಿಪನ,O
ಮಲ್ತೆರ್.,O
*,O
ಮೈತ್ರಿ,O
ಯೋಗ,O
ಶಿಕ್ಷಕೆರ್,B-ACD
ವಿಟ್ಲ,B-LOC
ಶಾಖೆ,O
ಮೇರ್,O
Read,O
more…7,O
ವಸಾಯಿ,O
ಸಾರ್ವಜನಿಕ,B-ORG
ಶ್ರೀ,I-ORG
ಶನೀಶ್ವರ,I-ORG
ಸೇವಾ,I-ORG
ಸಮಿತಿ,I-ORG
(ರಿ.),O
*,O
ದ,O
ಮುತಾಲಿಕೆಡ್,O
ಭಜನಾ,B-FUN
ಕಾರ್ಯಕ್ರಮ,I-FUN
ಜ.14,B-DATE
ವಸಾಯಿದ,O
ಹನುಮಾನ್,B-ORG
ಮಂದಿರದ,I-ORG
ಹಾಲ್,I-ORG
ಡ್,I-ORG
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ಬೊಳ್ಳಿ,I-FUN
ಪರ್ಬದ,I-FUN
ಲೆಕ್ಕೊಡು,I-FUN
ಬೇತೆ,O
ಬೇತೆ,O
ಭಜನಾ,B-ENT
ಮಂಡಳಿದಕ್ಲೆರ್ದ್,I-ENT
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
8,B-NUM
ಮುಲ್ಕಿ,B-LOC
ಪುಗರ್ತೆದ,O
ಛಾಯಚಿತ್ರಗಾರೆರ್,B-ROL
ಚಿತ್ರಾಲಯ,I-ROL
ಸ್ಟುಡಿಯೋದ,I-ROL
ಧಣಿ,I-ROL
ದಿ.,O
*,O
ಜಯಶೀಲ,B-PER
ಸನಿಲ್,I-PER
ಮೇರ್ನ,O
ಬುಡೆದಿ,B-FAM
ಮುಲ್ಕಿ,B-LOC
ಪಂಚಮಹಲ್,I-LOC
ರೋಡ್,I-LOC
ಲಕ್ಷ್ಮೀ,I-LOC
ನಿವಾಸದ,I-LOC
ಯಶೋಧ,B-PER
ಜಯಶ್ರೀ,I-PER
ಸನಿಲ್,I-PER
-70,B-NUM
ಹುಷಾರ್,O
ದಾಂತೆ,O
ಸನಿವಾರ,B-DATE
ದೇವೆರೆ,O
ಪಾದ,O
ಸೇರಿಯೆರ್.,O
*,O
ಮೆರೆಗ್,O
ಪತ್ರಕರ್ತೆರಾಯಿನ,B-ROL
ಭಾಗ್ಯವಾನ್,B-PER
ಸನಿಲ್,I-PER
ಸೇರ್ದ್,O
ರಡ್ಡ್,B-NUM
ಮಗನಕುಲು,B-FAM
ಒರ್ತಿ,B-NUM
ಮಗಲ್,B-FAM
ಉಲ್ಲೆರ್.,O
*,O
9,B-NUM
ತುಳುನಾಡ್,B-LOC
ದ,I-LOC
ಪುಗರ್ತೆದ,O
ಯಕ್ಷಗಾನ,B-ENT
ಪ್ರಸಂಗಕರ್ತೆರ್,B-ROL
ಸಂಶೋಧಕೆರ್,I-ROL
ಅನುವಾದಕೆರ್,I-ROL
ವಿಮರ್ಶಕೆರ್,I-ROL
ಜಾನಪದ,I-ROL
ತಜ್ಞೆರ್,I-ROL
ಕವಿ,I-ROL
ಕಥೆಗಾರೆರ್,I-ROL
ಅಮೃತ,B-PER
ಸೋಮೇಶ್ವರ,I-PER
-89,B-NUM
ಮೇರ್,O
ನನ,O
ನಂಕ್ಕ್,O
ನೆಂಪು,O
ಮಾತ್ರ.,O
*,O
ಆರ್,B-COM
ಶನಿಯಾರ,B-DATE
ಅರೆನ,B-COM
ಇಲ್ಲಡ್,O
ದೇವೆರೆ,O
ಪಾದೊ,O
ಸೇರಿಯೆರ್.,O
*,O
ದಕ್ಷಿಣ,B-GPE
ಕನ್ನಡ,I-GPE
ಜಿಲ್ಲೆದ,I-GPE
ಕೋಟೆಕಾರು,B-LOC
ಕೈತಲ್ದ,O
ಅಡ್ಯ,B-LOC
ಪನ್ಪುನಲ್ಪ,O
1953,B-NUM
ಸೆಪ್ಟಂಬರ್,B-DATE
27,B-NUM
ದಾನಿ,O
ಅಮೃತ,B-PER
ಸೋಮೇಶ್ವರ,I-PER
ಪುಟ್ಟಿಯೆರ್.,O
*,O
ಸುರುತ,O
ಶಿಕ್ಷಣನ್,B-ACD
ಕೋಟೆಕಾರ್,B-LOC
ದ,O
ಸ್ಟೆಲ್ಲಾ,B-ORG
ಮೇರಿ,I-ORG
ಕಾನ್ವೆಂಟ್ಡ್,I-ORG
ಮುಗಿಪಾದ್,O
ಬೊಕ್ಕ,O
Read,O
more…10,B-NUM
ಕಡಬ,B-LOC
ಪೊವೊಂದಿತ್ತಿನ,O
ಟಾಟಾ,B-ORG
ಸುಮೋ,I-ORG
ಬೊಕ್ಕ,O
ಅಂಗಡಿದ,O
ಮಿತ್ತ್,O
ಮಲ್ಲ,O
ಗಾತ್ರದ,O
ಮರ,O
ಬೂರ್ನ,O
ಪರಿಣಾಮ,B-ACD
ರಡ್ಡ್,O
ಜನಕ್ಕ್,B-COM
ಗಾಯ,O
ಆಯಿನ,O
ಘಟನೆ,O
ಉಬಾರ್,B-LOC
ಸುಬ್ರಹ್ಮಣ್ಯ,I-LOC
ರಾಜ್ಯ,B-GPE
ಹೆದ್ದಾರಿದ,O
ಕೈಕಂಬ,B-LOC
ಜಂಕ್ಷನ್ಡ್,I-LOC
ಸೋಮವಾರ,B-DATE
ನಡತ್ಂಡ್.,O
*,O
ಸುಬ್ರಹ್ಮಣ್ಯರ್ದ್,B-LOC
ನೆಟ್ಟಣೆದಂಚಿ,I-LOC
ಪೊವೊಂದು,B-TRS
ಇತ್ತಿನ,I-TRS
ಟಾಟಾ,O
ಸುಮೋ,O
ಬೊಕ್ಕ,O
ಕೈಕಂಬ,B-LOC
ಜಂಕ್ಷನ್ಡ್,B-GPE
ಇತ್ತಿನ,O
ಗೂಡಂಗಡಿದ,O
ಮಿತ್ತ್,O
ಮಲ್ಲ,O
ಗಾತ್ರದ,O
ಮರ,O
ಬೂರ್ದುಂಡು.,O
*,O
ಘಟನೆಡ್,O
ಗಾಡಿದ,O
ಡ್ರೈವರ್,B-ROL
ಬಿಳಿನೆಲೆ,B-LOC
ನಿವಾಸಿ,I-LOC
ಶೇಖರ್,B-PER
ಬೊಕ್ಕ,O
ನನೊರಿಯಗ್,B-PER
ಗಾಯ,O
Read,O
more…11,O
ಚಿತ್ರನಟೆ,B-ROL
ಯಶ್,B-PER
ನ,I-PER
ಪುಟ್ಟುಪರ್ಬದ,B-FUN
ಲೆಕ್ಕೊಡು,O
ಬ್ಯಾನರ್,O
ಕಟ್,O
ನಗ,O
ಕರೆಂಟ್,O
ಹಾಕ್,O
ದ್,O
3,B-NUM
ಜನ,B-COM
ಜವನೆರ್,I-COM
ತೀರ್,O
ಪೋಯಿನ,O
ಘಟನೆ,O
ಗದಗ,B-LOC
ಜಿಲ್ಲೆದ,B-GPE
ಲಕ್ಷ್ಮೇಶ್ವರದ,B-LOC
ಸೂರಣಗಿಡ್,I-LOC
ನಡತ್ಂಡ್.,O
*,O
ಈ,O
ಘಟನೆಡ್,O
ತೀರ್,O
ಪೋಯಿನಕುಲು,O
ಹನುಮಂತ,B-PER
ಹರಿಜನ,I-PER
ಮುರಳಿ,I-PER
ನಡುವಿನಮನಿ,I-PER
ಬೊಕ್ಕ,I-PER
ನವೀನ,I-PER
ಪಂದ್,O
ತೆರಿದ್,O
ಬೈದ್ಂಡ್.,O
*,O
ಅಂಚೆನೆ,O
ಈ,O
ಘಟನೆಡ್,O
ಮಂಜುನಾಥ್,B-PER
ದೀಪಕ್,I-PER
ಬೊಕ್ಕ,I-PER
ಪ್ರಕಾಶ್,I-PER
ಗ್,O
ಪೆಟ್ಟಾತ್ಂಡ್.,O
*,O
ಮೊಕ್ಲೆನ್,B-COM
ಕೈತಲ್ದ,O
ಆಸ್ಪತ್ರೆಗ್,B-MED
ದಾಖಲ್,I-MED
ಮಲ್ದೆರ್.,O
*,O
12,B-NUM
ಮೂಲ್ಕಿ,B-LOC
ಕೆರೆಕಾಡು,I-LOC
“ನಮ್ಮನೆ”,O
ಇಲ್ಲದ,B-FAM
ಅಮರ್,I-FAM
ಜೋಕುಲಾಯಿನ,I-FAM
ನವೀಶ್,B-PER
ಎನ್.,I-PER
*,O
ಪೂಜಾರಿ,B-PER
ಬೊಕ್ಕ,O
ನಮಿಷಾ,B-PER
ಎನ್.,I-PER
*,O
ಪೂಜಾರಿ,B-PER
ಮೊಕುಲು,B-COM
ಕುಡ್ಲ,B-LOC
ಮಂಗಳಾದೇವಿದ,I-LOC
ಖಾಸಗಿ,B-ACD
ಶಾಲೆಡ್,I-ACD
ಐತಾರ,B-DATE
ನಡತಿನ,O
ರಾಜ್ಯಮಟ್ಟದ,B-GPE
ಕರಾಟೆ,B-ENT
ಸ್ಪರ್ಧೆ,I-ENT
ಎಡ್ಡೆ,O
ಸಾಧನೆ,O
ಮಲ್ದೆರ್.,O
*,O
ನವೀಶ್,B-PER
ಮೇರ್,I-PER
“ಕುಮಿಟೆ”,B-ENT
ವಿಭಾಗಡ್,I-ENT
ಬಂಗಾರ್,I-ENT
ದ,I-ENT
ಪದಕ,I-ENT
ಅಂಚೆನೆ,O
“ಕಟಾ”,B-ENT
ವಿಭಾಗಡ್,O
ಬೊಳ್ಳಿದ,B-ENT
ಪದಕ,I-ENT
ಗೆಂದ್,O
ದೆರ್,O
ನಮಿಷಾ,B-PER
ಮೇರ್,I-PER
ಕುಮಿಟೆ,B-ENT
ಬೊಕ್ಕ,O
ಕಟಾ,B-ENT
ರಡ್ಡ್,B-NUM
ವಿಭಾಗದ,O
ಪಂತೊಡುಲ,O
ಕಂಚಿದ,O
ಪದಕ,O
Read,O
more…13,O
ಪೆರ್ನೆದ,B-LOC
ಕೊರತಿಕಟ್ಟೆ,I-LOC
ಅಯ್ಯಪ್ಪ,B-ORG
ಭಕ್ತ,I-ORG
ವೃಂದದ,I-ORG
ಮುತಾಲಿಕೆಡ್,O
ಕಾರ್ಲ,B-LOC
ಶ್ರೀ,I-LOC
ರಾಮಾಂಜನೇಯ,I-LOC
ಭಜನಾ,B-FUN
ಮಂದಿರಡ್,O
ಜ.9,B-DATE
ಅಂಗಾರೆ,I-DATE
ಇರುಮುಡಿ,B-FUN
ಕಟ್ಟ್,I-FUN
ದ್,O
ಶಬರಿಮಲೆ,B-FUN
ಯಾತ್ರೆ,I-FUN
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ಅಯ್ಯಪ್ಪ,B-PER
ವೃತಾಧಾರಿ,O
ಗುರುಸ್ವಾಮಿ,B-ROL
ರಮಾನಂದ,B-PER
ಮೆರೆನ,O
ಮಾರ್ಗದರ್ಶನಡ್,O
ನಡಪುಂಡು.,O
*,O
ಬೊಲ್ಪುಗು,O
ಇರುಮುಡಿ,B-FUN
ಕಟ್ಟಿಯೆರೆ,I-FUN
ಮಧ್ಯಾಹ್ನ,O
ಮಹಾಪೂಜೆ,B-FUN
ಅನ್ನ,I-FUN
ಪ್ರಸಾದ,I-FUN
ಸೇವೆ,I-FUN
ರಾತ್ರೆ,O
ಅಪ್ಪ,B-FUN
ಸೇವೆ,I-FUN
ಪಂದಳ,I-FUN
ಪೂಜೆ,I-FUN
ಪ್ರಸಾದ,I-FUN
ಪಟ್ಟುನ,I-FUN
ಲೇಸ್,I-FUN
ಅನ್ನ,I-FUN
ಪ್ರಸಾದ,I-FUN
ಸೇವೆ,I-FUN
ನಡಪರೆ,O
ಉಂಡು,O
Read,O
more…14,O
ಸುಬ್ರಹ್ಮಣ್ಯ,B-PER
ಸುಬ್ರಹ್ಮಣ್ಯದ,B-LOC
ಡಾ.ರವಿ,B-PER
ಕಕ್ಕೆಪದವು,I-PER
ಸಮಾಜ,B-ORG
ಸೇವಾ,I-ORG
ಟ್ರಸ್ಟ್,I-ORG
ದಕುಲು,O
ಜ.7,B-DATE
ಐತಾರ,I-DATE
ಕುಮಾರಧಾರ,B-LOC
ಸುತ್ತಮುತ್ತದ,O
ಪರಿಸರನ್,B-LOC
ಸ್ವಚ್ಛತೆ,O
ಮಲ್ತೆರ್.,O
*,O
ಶ್ರೀ,B-ORG
ಕ್ಷೇತ್ರಗ್,I-ORG
ಮಸ್ತ್,I-ORG
ಸಂಖ್ಯೆಡ್,B-NUM
ಭಕ್ತಾದಿಲು,O
ಬರೊಂದು,O
ಉಲ್ಲೆರ್.,O
*,O
ದೇವೆರೆನ,O
ದರ್ಶನ,O
ಪಡೆವೊಂದು,O
ಉಲ್ಲೆರ್.,O
*,O
ಆಂಡ,O
ದೂರದ,O
ಊರುರ್ದ್,B-LOC
ಬೇತೆ,O
ಬೇತೆ,O
ಕ್ಷೇತ್ರಲೆರ್ದ್,B-ORG
ಗಾಡಿಡ್,O
ಬರ್ಪುನ,O
ಭಕ್ತಾದಿಲು,O
ಮಾರ್ಗದ,O
ಬರಿಟ್ಟ್,O
ಕಜವು,O
ಪ್ಲಾಸ್ಟಿಕ್,O
ಬಾಟಲಿ,O
ನೀರ್,O
ದ,O
ಕ್ಯಾನ್,O
ತೆನಸ್,O
ದ,O
ಡಬ್ಬಿನ್,O
ದಕ್ಕ್,O
ದ್,O
ಇಡೀ,O
ಪರಿಸರನ್,O
Read,O
more…15,O
ಬೊಂಬೈ,B-LOC
ಓಂ,B-ORG
ಶ್ರೀ,I-ORG
ಜಗದೀಶ್ವರಿ,I-ORG
ಸೇವಾ,I-ORG
ಸಮಿತಿ,I-ORG
(ರಿ.),O
*,O
ಮುತಾಲಿಕೆಡ್,O
ದೇವಲಪದ,B-LOC
ಶ್ರೀ,I-LOC
ಬ್ರಹ್ಮ,I-LOC
ಬೈದರ್ಕಳ,I-LOC
ಗರಡಿಡ್,I-LOC
50,B-NUM
ನೇ,I-NUM
ವರ್ಷದ,I-DATE
ಸುವರ್ಣ,B-FUN
ಮಹೋಚ್ಚಯ,I-FUN
ಬೊಕ್ಕ,O
ಬೈದರ್ಕಳ,B-FUN
ನೇಮೋಚ್ಚಯ,I-FUN
ಜ.25,B-DATE
ಗುರುವಾರ,I-DATE
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ಡ್,I-FUN
ಮಾತೆರ್ಲಾ,B-COM
ಕುಟುಂಬ,B-FAM
ಸಮೇತೆರಾದ್,I-FAM
ಪಾಲ್,B-ROL
ಪಡೆದ್,O
ಸಿರಿಮುಡಿ,O
ಗಂಧ,O
ಪ್ರಸಾದ,O
ದೆತೊಂದು,O
ಶ್ರೀ,B-PER
ಜಗದೀಶ್ವರೀ,I-PER
ಬೊಕ್ಕ,O
ಶ್ರೀ,B-PER
ಬ್ರಹ್ಮ,I-PER
ಬೈದೆರ್ಲೆನ,I-PER
ಕೃಪೆಗ್,O
ಪಾತ್ರರಾವೊಡು,O
ಪಂದ್,O
ವ್ಯವಸ್ಥಾಪಕ,B-ORG
ಸಮಿತಿದ,I-ORG
ಸಂಸ್ಥಾಪಕಾಧ್ಯಕ್ಷೆರ್,B-ROL
ಶೇಖರ್,B-PER
Read,O
more…16,O
ಕುಕ್ಕೆ,B-ORG
ಶ್ರೀ,I-ORG
ಸುಬ್ರಹ್ಮಣ್ಯ,I-ORG
ದೇವಸ್ಥಾನಡ್,I-ORG
ಎಸ್.ಪಿ.ವೈ.ಎಸ್.ಎಸ್,B-ORG
ಯೋಗ,B-ENT
ಮುತಾಲಿಕೆಡ್,O
ಜ.7,B-DATE
ಐತಾರ,I-DATE
ಸಾಮೂಹಿಕ,O
ಯೋಗ,B-FUN
