Words,NER Tag
ಎಂ.ಆರ್.ಮಾನ್ವಿ,B-PER
ಪಂಡೆರ್,O
.,O
ಮೇರ್,O
ಬುಧವಾರ,B-DATE
ಭಟ್ಕಳದ,B-LOC
ದಾವತ್,B-ORG
ಸೆಂಟರ್ಡ್,I-ORG
ಐಟಾ,O
ಬೊಕ್ಕ,O
ಜಮಾಆತೆ,B-ORG
ಇಸ್ಲಾಮಿ,I-ORG
ಹಿಂದ್,I-ORG
ಭಟ್ಕಳ,I-ORG
ಶಾಖೆರ್ದ್,I-ORG
ಕಿಟ್,B-GRC
ವಿತರಣಾ,B-FUN
ಕಾರ್ಯಕ್ರಮಗ್,I-FUN
ಚಾಲನೆ,O
ಕೊರ್ದು,O
ಪಾತೆರಿಯೆರ್,O
.,O
ರಾಜ್ಯಡ್,B-GPE
ಖಾಸಗಿ,B-ACD
ಶಾಲಾ,I-ACD
ಶಿಕ್ಷಕೆರ್ನ,B-ROL
ಪರಿಸ್ಥಿತಿ,B-ACD
ಬಾರಿ,O
ಕಷ್ಟಕರ,O
.,O
ಆಲ್,B-ORG
ಇಂಡಿಯಾ,I-ORG
ಐಡಿಯಾಲ್,I-ORG
ಟೀಚರ್ಸ್,I-ORG
ಅಸೋಸಿಯೇಶನ್,I-ORG
ರಾಜ್ಯದ,B-GPE
ಖಾಸಗಿ,B-ACD
ಶಾಲಾ,I-ACD
ಶಿಕ್ಷಕೆರ್ನ,B-ROL
ಬೆರಿ,B-ACD
ಬಲ,I-ACD
ಉಲ್ಲೆರ್,O
",",O
ಅಕ್ಲೆನ,O
ಸಮಸ್ಯೆದ,O
ಬಗ್ಗೆ,O
ಸರ್ಕಾರದ,B-ORG
ಗಮನ,O
ಕೊರೊಂದು,O
ಉಲ್ಲೆರ್,O
.,O
ಪೇಂಟೆದ,B-GPE
ಫಾದರ್,B-ORG
ಮುಲ್ಲರ್,I-ORG
ಸಂಸ್ಥೆದ,I-ORG
ನಿರ್ದೇಶಕೆರಾಯಿನ,B-ROL
ಹೋಮಿಯೊಪತಿ,B-ORG
ಕಾಲೇಜು,I-ORG
ಬೊಕ್ಕ,O
ನರ್ಸಿಂಗ್,B-ORG
ಕಾಲೇಜು,I-ORG
ಸ್ಥಾಪನೆಗ್,B-ACD
ಅಪಾರವಾದ್,O
ಶ್ರಮಿಸಾಯಿನ,O
ವಂ.,B-PER
ಪೀಟರ್,I-PER
ನೊರೊನ್ಹಾ,I-PER
-85,B-NUM
ಬುಧವಾರ,B-DATE
ಹೃದಯಾಘಾತಡ್,B-MED
ತೀರ್ಪೋಯೆರ್,B-FAM
.,O
ಪೇಂಟೆದ,B-GPE
ಬೊಂದೇಲ್,B-LOC
31.1.1936ದಾನಿ,B-NUM
ಪುಟ್ಟಿಯೆರ್,O
1961ಟ್ಟ್,B-NUM
ಕುಡ್ಲ,B-LOC
ಧರ್ಮಪ್ರಾಂತದ,B-ORG
ಧರ್ಮಗುರುವಾದ್,B-ROL
ನೇಮಕ,B-ACD
ಆದ್,O
ಬಜ್ಪೆ,B-LOC
ಬೊಕ್ಕ,O
ಬಿಜೈ,B-LOC
ಚರ್ಚ್ಡ್,B-ORG
ಸಹಾಯಕ,B-ROL
ಧರ್ಮಗುರುವಾದ್,I-ROL
ಬೊಕ್ಕ,O
ಕಾಟಿಪಳ್ಳ,B-LOC
",",O
ಒಡಿಪು,B-LOC
",",O
ಮೊಡಂಕಾಪು-,B-LOC
ಬಂಟ್ವಾಳ,B-LOC
ಬೊಕ್ಕ,O
ಬೆಂದೂರ್,B-LOC
ಚರ್ಚ್ಡ್,B-ORG
ಧರ್ಮಗುರುವಾದ್,B-ROL
ಸೇವೆ,B-ACD
ಮಲ್ದೆರ್,O
.,O
ಇನಿರ್ದ್,B-DATE
ಪುತ್ತೂರು,B-LOC
ಪೇಂಟೆಡ್,I-LOC
ತಿರ್ಗುಂಡ,O
ಪೊಲೀಸೆರ್,B-ROL
ಕ್ರಮ,B-POL
ದೆತೊನುವೆರ್,O
.,O
ಕೊರೋನ,B-MED
ಜಾಸ್ತಿ,O
ಆವೊಂದು,O
ಇತ್ತುಂಡಲ,O
ಜನ,B-COM
ನನಲಾ,O
ಕ್ಯಾರೇ,O
ಆವಂದಿಲಕ,O
ಅಕ್ಲೆಗ್,O
ಬೋಡಾಯಿಲಕ,O
ಪೇಂಟೆಗ್,B-GPE
ಬರೊಂದು,O
ಉಪ್ಪುನ,O
ಜಾಸ್ತಿ,O
ಆವೊಂದು,O
ಉಪ್ಪುನ,O
ನೆಲೆಟ್ಟ್,O
ಅನಗತ್ಯವಾದ್,O
ಪೇಂಟೆಗ್,B-GPE
ಬರ್ಪಿನ,O
ಜನಕ್ಲೆನ್,B-COM
ನಿಯಂತ್ರಣ,B-POL
ಮಲ್ಪುನ,O
ನೆಲೆಟ್ಟ್,O
ಪುತ್ತೂರು,B-LOC
ಪೇಂಟೆಡ್,I-LOC
ಪೊಲೀಸೆರ್,B-ROL
ಬ್ಯಾರಿಕೆಡ್,B-POL
ಪಾರ್ದ್,O
ಗಾಡಿಲೆದ,B-TRS
ತಪಾಸಣೆ,I-TRS
ಮಲ್ಪರೇ,O
ಉಲ್ಲೆರ್,O
.,O
ಚಾಮರಾಜ,B-LOC
ನಗರದ,I-LOC
ಆಕ್ಸಿಜನ್,B-MED
ಹಗರಣ,B-POL
ಬೊಕ್ಕ,O
ಬೆಂಗಳೂರುದ,B-LOC
ಬೆಡ್,B-MED
ಬ್ಲಾಕಿಂಗ್,I-MED
ಹಗರಣದ,B-POL
ಅಧಿಕಾರಿಲೆನ್,B-ROL
",",O
ಅಂಚೆನೇ,O
ರಡ್ಡ್,O
ಜಿಲ್ಲೆದ,O
ಜಿಲ್ಲಾಧಿಕಾರಿಲೆನ್,B-ROL
ಅಮಾನತು,B-POL
ಮಲ್ಪೊಡು,O
.,O
ಉಂದೆಕ್ಕ್,O
ಹೊಣೆಗಾರೆರಾಯಿನ,B-POL
ಆರೋಗ್ಯ,B-MED
ಸಚಿವೆರ್,B-ROL
ರಾಜೀನಾಮೆ,B-POL
ಕೊರೊಡು,O
ಪಂಡ್ದ್,O
ಮಾಜಿ,B-ROL
ಸಚಿವೆರ್,I-ROL
ಕೆ.ಅಭಯಚಂದ್ರ,B-PER
ಜೈನ್,I-PER
ಒತ್ತಾಯ,O
ಮಲ್ದೆರ್,O
.,O
ಆರ್,O
ಹಳೆಯಂಗಡಿದ,B-LOC
ಮೂಲ್ಕಿ,B-LOC
ಬ್ಲಾಕ್,B-POL
ಕಾಂಗ್ರೆಸ್,B-ORG
ಕಚೇರಿಡ್,I-ORG
ಬುಧಾರ,B-DATE
ನಡತಿನ,O
ಸುದ್ದಿಗೋಷ್ಠಿಡ್,B-POL
ಪಾತೆರಿಯೆರ್,O
.,O
ರಾಜ್ಯದ,B-GPE
ಆಡಳಿತ,B-ACD
ಮಲ್ಪುನ,O
ಬಿಜೆಪಿ,B-ORG
ಸರ್ಕಾರೊಗು,I-ORG
ತನ್ನ,O
ಅಧಿಕಾರಿಲೆನ್,B-ROL
ಹತೋಟಿಗಡ್,B-POL
ದೀವೊನರೆ,O
ಸಾಧ್ಯ,O
ಆವೊಂದಿಜ್ಜಿ,O
.,O
ಈತ್,O
ಮಾತಾ,O
ಆಂಡಲಾ,O
ಕೇಂದ್ರ,B-ORG
ಸರ್ಕಾರ,I-ORG
ಮೌನ,O
ಆತ್ಂಡ್,O
.,O
ಆಡಳಿತ,B-ACD
ಮಲ್ಪುನ,O
ಬಿಜೆಪಿದ,B-ORG
ಇರುವೆರ್,O
ಶಾಸಕೆರ್,B-ROL
",",O
ಒರಿ,O
ಸಂಸದೆರೇ,B-ROL
ಈ,O
ಹಗರಣ,B-POL
ನಾಡ್ಪತ್ದಿನ,O
ತೂವನಗ,O
ಸರ್ಕಾರದ,B-ORG
ಇಚ್ಚಾಶಕ್ತಿದ,B-POL
ಕೊರತೆ,O
ತೋಜುಂಡು,O
ಪಂಡೆರ್,O
.,O
ರಾಜಕೀಯೊನು,B-POL
ಸಮಾಜ,I-POL
ಸೇವೆಗ್,I-POL
ಮೀಸಲು,I-POL
ದೀಲೆ,O
.,O
ಜನೊಕ್ಲೆನ,B-COM
ಸಂಕಷ್ಟ,O
ತೆರಿಲೆ,O
ಪಂಡ್ದ್,O
ತೆರಿಪಾಯಿನ,O
ಆರ್,O
",",O
ಕೊರೊನಾ,B-MED
ರೋಗಿಲೆಗ್,I-MED
ಧರ್ಮಸ್ಥಳದ,B-ORG
ಯೋಜನೆದ,I-ORG
ಸಹಾಯೊನು,O
ಪುಗರಿಯೆರ್,O
.,O
ಕುಡ್ಲದ,B-LOC
ಜಿಲ್ಲಾ,B-GPE
ವೆನ್ಲಾಕ್,B-ORG
ಆಸ್ಪತ್ರೆಡ್,I-ORG
ಇತ್ತೆ,O
ಉಪ್ಪುನ,O
ವೆಂಟಿಲೇಟರ್,B-MED
ವ್ಯವಸ್ಥೆ,I-MED
ದಾಲಾ,O
ಯಾವುಜಿ,O
.,O
ಅವೆನ್,O
100ಕ್ಕ್,B-NUM
ಏರ್ಸಾಲೆ,O
.,O
ದುಂಬಗ್,O
ಬರ್ಪಿನ,O
ಅಪಾಯೊನು,O
ತೆರಿದ್,O
ಇತ್ತೆನೇ,O
ಜಾಗೃತೆ,O
ದೆತೊನ್ಲೆ,O
.,O
ಆಕ್ಸಿಜನ್,B-MED
ಸಮಸ್ಯೆ,O
ಜಿಲ್ಲೆಗ್ಲ,B-GPE
ಬರ್ಪಿನ,O
ಸಾಧ್ಯತೆ,O
ಉಂಡು,O
.,O
ಜಿಲ್ಲೆದ,B-GPE
ಎಲ್ಲಾ,O
7,B-NUM
ಸಚಿವೆರ್,B-ROL
",",O
ಸಂಸದೆರ್,B-ROL
ಎಚ್ಚರ,O
ಆದ್,O
ಜನೊಕ್ಲೆನ,B-COM
ರಕ್ಷಣೆಗ್,B-POL
ದುಂಬಾವೊಡು,O
.,O
ಅಯಿಕ್,O
ಬೋಡಾದ್,O
ಪಕ್ಷ,B-POL
ಬೇಧ,I-POL
ದೀವಂದೆ,O
ಕೆಲಸ,B-ACD
ಮಲ್ಪುಗ,O
ಪಂಡ್ದ್,O
ಕಾಂಗ್ರೆಸ್,B-ORG
ಯುವ,O
ನಾಯಕೆರ್,B-ROL
ಮಿಥುನ್,B-PER
ರೈ,I-PER
ಪಂಡೆರ್,O
.,O
ಕೆಪಿಸಿಸಿ,B-ORG
ಜಿಲ್ಲಾ,B-GPE
ವಕ್ತಾರೆರ್,B-ROL
ಎಚ್.ವಸಂತ,B-PER
ಬೆರ್ನಾಡ್,I-PER
",",O
ಮೂಲ್ಕಿ,B-LOC
ಬ್ಲಾಕ್,B-POL
ಕಾಂಗ್ರೆಸ್,I-ORG
ಅಧ್ಯಕ್ಷೆರ್,B-ROL
ಧನಂಜಯ,B-PER
ಮಟ್ಟು,I-PER
",",O
ಯುವ,B-ORG
ಕಾಂಗ್ರೆಸ್,I-ORG
ಅಧ್ಯಕ್ಷೆರ್,B-ROL
ಅಶೋಕ್,B-PER
ಪೂಜಾರ್,I-PER
",",O
ಮಹಿಳಾ,B-ORG
ಕಾಂಗ್ರೆಸ್,I-ORG
ಅಧ್ಯಕ್ಷೆ,B-ROL
ಪದ್ಮಾವತಿ,B-PER
ಶೆಟ್ಟಿ,I-PER
",",O
ಇಂಟಕ್,B-ORG
ಅಧ್ಯಕ್ಷೆರ್,B-ROL
ಮೋಹನ್,B-PER
ಕೋಟ್ಯಾನ್,I-PER
ಶಿಮಂತೂರು,I-PER
ಸುದ್ದಿಗೋಷ್ಠಿಡ್,B-POL
ಇತ್ತೆರ್,O
.,O
ಬಾಲಿವುಡ್,B-ENT
ಸ್ಟಾರ್,I-ENT
ದೀಪಿಕಾ,B-PER
ಪಡುಕೋಣೆಗ್ಲ,I-PER
ಕೋವಿಡ್,B-MED
ಪಾಸಿಟಿವ್,I-MED
ಆತ್ಂಡ್,O
.,O
ಏ,B-DATE
.,O
4,B-NUM
ಅಂಗಾರೆ,B-DATE
ಅರೆನ,O
ರಿಪೋರ್ಟ್ಲ,B-MED
ಪಾಸಿಟಿವ್,I-MED
ಬೈದ್ಂಡ್,O
.,O
ಆಂಡ,O
ದೀಪಿಕಾ,B-PER
ಈ,O
ವಿಷಯೊನು,B-ACD
ಅಪ್ಡೇಟ್,I-ACD
ಮಲ್ದ್ಜೆರ್,O
ಪಂಡ್ದ್,O
ಇಂಡಿಯಾ,B-ORG
ಟುಡೆ,I-ORG
ವರದಿ,B-POL
ಪನ್ತ್ಂಡ್,O
.,O
ಕೆಲವೇ,O
ದಿನತ್ತ,B-DATE
ಪಿರವುಡು,O
ದೀಪಿಕಾ,B-PER
ಪಡುಕೋಣೆ,I-PER
ಮೆರೆನ,O
ಅಮ್ಮೆರ್,B-FAM
",",O
ಮಾಜಿ,B-ROL
ಬ್ಯಾಡ್ಮಿಂಟನ್,I-ROL
ಪ್ಲೇಯರ್,I-ROL
ಪ್ರಕಾಶ್,B-PER
ಪಡುಕೋಣೆಗ್ಲ,I-PER
ಪಾಸಿಟಿವ್,B-MED
ಬತ್ತ್ದ್,O
ಬೆಂಗಳೂರುದ,B-LOC
ಆಸ್ಪತ್ರೆಡ್,B-ORG
ಚಿಕಿತ್ಸೆ,B-MED
ಪಡೆದೆರ್,O
.,O
ನೆರ್ದ್,O
ದುಂಬು,O
ದೀಪಿಕಾ,B-PER
ಪಡುಕೋಣೆನ,I-PER
ಅಮ್ಮ,B-FAM
ಬೊಕ್ಕ,O
ಮೆಗ್ದಿ,B-FAM
ಅನಿಶಾಗ್ಲ,B-PER
ಪಾಸಿಟಿವ್,B-MED
ಬತ್ತ್ದ್,O
ಇಲ್ಲಡೇ,B-FAM
ಚಿಕಿತ್ಸೆ,B-MED
ಮಲ್ತ್ದ್,O
ಗುಣ,B-MED
ಆತೆರ್,O
.,O
ಕೋವಿಡ್,B-MED
ಕರ್ಫ್ಯೂ,B-POL
ನೆಲೆಟ್ಟ್,O
ಕೋವಿಡ್,B-MED
ಸೇರಿನಂಚ,O
ಮಾತಾ,O
ರೀತಿದ,O
ವೈದ್ಯಕೀಯ,B-MED
ಚಿಕಿತ್ಸೆಗಾದ್,I-MED
ಉಡುಪಿದ,B-LOC
ಯಶೋಧ,B-ORG
ಅಟೋ,I-ORG
ಯೂನಿಯನ್,I-ORG
ಅಟ್ಟನೆ,B-ACD
ಮಲ್ದಿನ,O
ಉಚಿತ,B-POL
ಅಟೋ,B-TRS
ಸೇವೆಗ್,I-TRS
ಒಡಿಪು,B-LOC
ಜಿಲ್ಲಾಧಿಕಾರಿ,B-ROL
ಜಿ.ಜಗದೀಶ್,B-PER
ಕೋಡೆ,O
ಜಿಲ್ಲಾಧಿಕಾರಿ,B-ORG
ಕಚೇರಿ,I-ORG
ಆವರಣಡ್,B-ACD
ಚಾಲನೆ,O
ಕೊರಿಯೆರ್,O
.,O
ಯೂನಿಯನ್,B-ORG
ಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
ಕೆ.ಕೃಷ್ಣಮೂರ್ತಿ,B-PER
ಪಾತೆರ್ದ್,O
",",O
ಕೋವಿಡ್,B-MED
ಕರ್ಫೂ,B-POL
ಪೊರ್ತುಡು,B-DATE
ಕೊರೋನ,B-MED
ಪರೀಕ್ಷೆ,I-MED
",",O
ಚಿಕಿತ್ಸೆ,B-MED
ಅಂಚನೇ,O
ಮೆಡಿಕಲ್,B-MED
ಸೇರಿನಂಚ,O
ಬೇತೆ,O
ಬೇತೆ,O
ವೈದ್ಯಕೀಯ,B-MED
ಸೌಲಭ್ಯಗ್,I-MED
ಪೋಪಿನ,O
ನಾಗರಿಕೆರೆಗ್,B-COM
ದಿನದ,B-DATE
24,B-NUM
ಗಂಟೆ,B-DATE
ಉಚಿತ,B-POL
ಆಟೋ,B-TRS
ಸೇವೆನ್,B-POL
ಕೊರ್ಪಿನ,O
ಉದ್ದೇಶ,O
ಉಂಡು,O
.,O
ನೆಕ್ಕದ್,O
ಒಡಿಪು,B-LOC
ನಗರ,B-ORG
ಸಭೆತ,I-ORG
ಮಾತಾ,O
ವಾರ್ಡ್ಡ್,B-POL
ಬೊಕ್ಕ,O
ಕೈತಲ್ದ,O
ಗ್ರಾಮಡ್,B-GPE
36,B-NUM
ಆಟೋಲೆನ್,B-TRS
ತಯಾರ್,O
ಮಲ್ದೆರ್,O
.,O
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಜಿಲ್ಲೆಡ್,B-GPE
ಕೊರೋನ,B-MED
ಸೋಂಕು,I-MED
ವ್ಯಾಪಕವಾದ್,O
ಪರಡೊಂದು,B-MED
ಉಂಡು,O
",",O
ರೋಗಿಲೆನ,B-MED
ಸಂಖ್ಯೆ,I-MED
ದಿನೇ,O
ದಿನೇ,O
ಜಾಸ್ತಿ,O
ಆವೊಂದು,O
ಉಂಡು,O
.,O
ಈ,O
ನೆಲೆಟ್ಟ್,O
‘,O
ಮಂಗಳೂರು,B-LOC
ಮಸ್ಜಿದ್ಸ್,B-ORG
ಅಸೋಸಿಯೇಶನ್,I-ORG
’,O
ವತಿರ್ದ್,O
ಮಸೀದಿದ,B-ORG
ಸ್ವಯಂ,B-ROL
ಸೇವಕೆರೆಗ್,I-ROL
ಕೊರೋನ,B-MED
ನಿರ್ವಹಣೆದ,B-POL
ಬಗ್ಗೆ,O
ತರಬೇತಿನ್,B-POL
ಅಟ್ಟನೆ,B-ACD
ಮಲ್ದೆರ್,O
.,O
ಈ,O
ತರಬೇತಿಡ್,B-POL
ಕೊರೋನ,B-MED
ಸೋಂಕು,I-MED
ನಿರ್ವಹಣೆಗ್,B-POL
ಜಮಾಅತ್,B-ORG
ಹಂತಡ್,B-POL
ಮಲ್ಪೊಡಾಯಿನ,O
ಪೂರ್ವ,B-POL
ಸಿದ್ಧತೆಲು,I-POL
",",O
ರೋಗಗ್,B-MED
ಪ್ರಥಮ,B-POL
ಹಂತದ,I-POL
ಚಿಕಿತ್ಸೆಲು,B-MED
",",O
ರೋಗಿಲು,B-MED
ಬೊಕ್ಕ,O
ಅಕ್ಲೆನ,O
ಸಂಬಂಧದಕ್ಲೆಗ್,B-FAM
ಎಂಚ,O
ಕೌನ್ಸೆಲಿಂಗ್,B-ACD
ಮಲ್ಪೊಡು,O
?,O
ಮಸೀದಿಡ್,B-ORG
ಕೋವಿಡ್,B-MED
ಹೆಲ್ಪ್ಲೈನ್,I-MED
ಸುರು,O
ಮಲ್ಪುನು,O
ಎಂಚ,O
?,O
ಇಂಚ,O
ಕೊರೋನ,B-MED
ಸಂಕಷ್ಟನ್,I-MED
ಸಮರ್ಥವಾದ್,O
ಎದುರಿಸಾವುನ,O
ಬಗ್ಗೆ,O
ಎಂಚ,O
ತಯಾರ್,O
ಮಲ್ಪೊಡು,O
ಪಂದ್,O
ತಜ್ಞ,B-MED
ವೈದ್ಯೆರ್,B-ROL
ಬೊಕ್ಕ,O
ಆಪ್ತ,B-ROL
ಸಮಾಲೋಚಕರೆರ್ದ್,I-ROL
ತರಬೇತಿ,B-MED
ಕೊರ್ಪ,O
ಪಂದ್,O
ಪಂಡೆರ್,O
.,O
ಕರ್ನಾಟಕ,B-LOC
ಕಾರ್ಯ,B-ORG
ನಿರತ,I-ORG
ಪತ್ರಕರ್ತೆರ್ನ,I-ORG
ಸಂಘದ,I-ORG
(KUWJ),O
ಮನವಿನ್,B-ACD
ಪುರಸ್ಕಾರ,I-ACD
ಮಲ್ತಿನ,O
ಮುಖ್ಯಮಂತ್ರಿ,B-ROL
ಬಿ.ಎಸ್.ಯಡಿಯೂರಪ್ಪ,B-PER
ಮೇರ್,O
ಪತ್ರಕರ್ತೆರೆನ್,B-ROL
ಕೋವಿಡ್,B-MED
ಫ್ರಂಟ್,I-MED
ಲೈನ್,I-MED
ವರ್ಕರ್ಸ್,I-MED
ಪಂದ್,O
ಘೋಷಣೆ,B-ACD
ಮಲ್ದೆರ್,O
.,O
ಕೆಯುಡಬ್ಲ್ಯೂಜೆದ,B-ORG
ಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
ಶಿವಾನಂದ,B-PER
ತಗಡೂರು,I-PER
ಮುತಾಲಿಕೆಡ್,B-POL
ಇನಿ,B-DATE
ಮುಖ್ಯಮಂತ್ರಿ,B-ROL
ಭೇಟಿ,O
ಮಲ್ತಿನ,O
ನಿಯೋಗಗ್,O
ಭರವಸೆ,O
ಕೊರ್ತಿನತ್ತoದೆ,O
",",O
ಈ,O
ನೆಲೆಟ್ಟ್,O
ಕ್ರಮ,B-POL
ದೆತೊಂದೆರ್,O
.,O
ನಿಯೋಗಡ್,O
ಪಬ್ಲಿಕ್,B-ORG
ಟಿವಿಿ,I-ORG
ರವೀಶ್,B-PER
",",O
ಪತ್ರಕರ್ತೆರಾಯಿನ,B-ROL
ಯುಎನ್,B-PER
ಐ,I-PER
ರಾಚಪ್ಪ,I-PER
",",O
ಪ್ರಜಾ,B-ORG
ಟಿವಿದ,I-ORG
ಅರುಣ್,B-PER
ಕುಮಾರ್,I-PER
ಪಾಲ್ಪಡೆದಿತ್ತೆರ್,O
.,O
ಸೊಲ್ಮೆ,B-ACD
ಸಂದೈತ,I-ACD
:,O
ಕೆಯುಡಬ್ಲ್ಯೂಜೆ,B-ORG
ಮನವಿ,B-ACD
ಪರಿಗಣಿಸಾದ್,B-POL
ಈ,O
ಕ್ರಮ,B-POL
ದೆತೊoಡಿನ,O
ಮುಖ್ಯಮಂತ್ರಿ,B-ROL
ಯಡಿಯೂರಪ್ಪ,B-PER
ಮೆರೆಗ್,O
ಸಂಘದ,B-ORG
ಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
ಶಿವಾನಂದ,B-PER
ತಗಡೂರು,I-PER
ಸೊಲ್ಮೆ,B-ACD
ಸಂದೈತ,I-ACD
ಮಲ್ತೆರ್,O
.,O
ಸದ್ಯೊಗು,O
ಒವ್ವೇ,O
ಶಾಲೆದ,B-ORG
ಆಡಳಿತ,I-ORG
ಮಂಡಳಿದಕುಲು,B-ROL
ಆನ್ಲೈನ್,B-ACD
ಕ್ಲಾಸ್ದ,I-ACD
ದುಡ್ಡು,B-ACD
ಅತ್ತಾಂದೆ,O
ಜೋಕುಲೆಗ್,B-FAM
ಕೊರಂದಿನ,O
ಬೇತೆ,O
ಸೌಲಭ್ಯದ,B-ACD
ಒವುಲಾ,O
ಫೀಸ್,B-ACD
ದೆತೊನರೆ,O
ಬಲ್ಲಿ,O
ಪಂಡ್ದ್,O
ಸುಪ್ರೀಂ,B-ORG
ಕೋರ್ಟ್,I-ORG
ಅಂಗಾರೆ,B-DATE
ಎಚ್ಚೆರ್ಗೆ,O
ಕೊರ್ತುಂಡು,O
.,O
ಕೊರೊನಾದ,B-MED
ಈ,O
ಪರಿಸ್ಥಿತಿಟ್ಟ್,B-ACD
ದೇಶದ,B-GPE
ಜನೊಕ್ಲೆನ,B-FAM
ಪಣವುದ,B-ACD
ಪರಿಸ್ಥಿತಿನ್,I-ACD
ತೂದು,O
ಅರ್ಥ,O
ಮಲ್ತೊನೊಡು,O
ಪಂಡ್ದ್,O
ನ್ಯಾಯಮೂರ್ತಿಲು,B-ROL
ಆಯಿನ,O
ಎ.ಎಂ.ಖಾನ್,B-PER
ವಿಲ್ಕರ್,I-PER
ಬೊಕ್ಕ,O
ದಿನೇಶ್,B-PER
ಮಹೇಶ್ವರಿ,I-PER
ಪನ್ತೆರ್,O
.,O
ಶಾಲೆಡ್,B-ACD
ನಡಪುನ,O
ಚಟುವಟಿಕೆ,B-ACD
ಬೊಕ್ಕ,O
ಶಾಲೆಡ್,B-ACD
ಉಪ್ಪುನ,O
